Script,Text,Speech_duration,Pause_duration
Hmong part B passage,They should record a song.,1.25,1.5
Hmong part B passage,We shouldn't contrast with others.,1.25,1.5
Hmong part B passage,He's a civil rights advocate.,1.25,1.5
Hmong part B passage,The pig shouldn't block the closet.,1.5,1.5
Hmong part B passage,We should delegate the responsibility.,1.5,1.5
Hmong part B passage,She shouldn't pervert justice.,1.5,1.5
Hmong part B passage,The word is bed? ,1,1.5
Hmong part B passage,"Yes,",0.5,1.5
Hmong part B passage,the word is bed.,1,1.5
Hmong part B passage,You need to change your conduct.,1.5,1.5
Hmong part B passage,This state seems to have a lot of fog.,1.5,1.5
Hmong part B passage,You need to ride the horse on its back.,1.5,1.5
Hmong part B passage,Please hop on the pad.,1.25,1.5
Hmong part B passage,Let's pull on your last boot.,1.25,1.5
Hmong part B passage,We worked hard on the project.,1.25,1.5
Hmong part B passage,Let's talk to our delegate in Congress.,1.5,1.5
Hmong part B passage,I hate to pause because of his nap.,1.5,1.5
Hmong part B passage,We should affiliate with them.,1.25,1.5
Hmong part B passage,Smell the good buns on the rack.,1.5,1.5
Hmong part B passage,He's a political moderate.,1.25,1.5
Hmong part B passage,We should perfect the process.,1.25,1.5
Hmong part B passage,The picture is very elaborate.,1.25,1.5
Hmong part B passage,Gosh. ,0.5,1.5
Hmong part B passage,The fish ate the apple.,1,1.5
Hmong part B passage,We should convert the files.,1.25,1.5
Hmong part B passage,The tall player was at bat.,1.25,1.5
Hmong part B passage,My dad accidentally hit the cake.,1.25,1.5
Hmong part B passage,"Use logic, not your fist.",1.25,1.5
Hmong part B passage,We should produce a song.,1.25,1.5
Hmong part B passage,We shouldn't conflict with others. ,1.25,1.5
Hmong part B passage,"I was in the cabin, sleeping on the cot.",1.5,1.5
Hmong part B passage,He gave us his estimate.,1.25,1.5
Hmong part B passage,The alien zapped the sub into a bag.,1.5,1.5
Hmong part B passage,We should advocate for them.,1.5,1.5
Hmong part B passage,They should elaborate on the plan.,1.5,1.5
Hmong part B passage,She should conduct a survey.,1.25,1.5
Hmong part B passage,The word is bad?,1,1.5
